255,covid-19
40,pandemic
36,deaths
35,covid
31,cases
28,19
25,death
24,americans
23,patients
20,world
20,nursing
20,health
19,died
19,crisis
18,asian
17,cuomo
17,🇺
16,24
16,hours
16,spread
16,covid19
16,homes
15,democrat
15,real
15,virus
15,positive
15,attacks
15,beginning
15,murder
15,hospital
15,🇸
14,okay
13,vaccine
13,passionately
13,speaking
13,xenophobic
13,suddenly
13,public
12,workers
11,better
11,masks
11,acted
11,covid_19
11,wear
10,record
10,economy
10,patient
10,single
10,coronavirus
10,quickly
10,broke
10,tweets
10,face
10,order
10,government
10,elderly
9,watch
9,sharing
9,dead
9,lockdowns
9,recorded
9,spike
9,blame
9,case
9,viruses
9,months
9,racism
9,tested
9,individuals
9,testing
9,unable
9,texas
9,data
9,continues
9,states
9,florida
